Community,Condition,Order,Category,Concept,Round,Population signals,Entropy_population
3,Early,Dir,Places,Parliment,2,"[2, 0, 2, 0, 0]",1.0
3,Early,Dir,Places,Parliment,3,"[2, 0, 2, 0, 0]",1.0
3,Early,Dir,Places,Parliment,4,"[1, 0, 3, 0, 0]",0.8112781244591328
3,Early,Dir,People,Brad Pitt,1,"[1, 1, 1, 1, 0]",2.0
3,Early,Dir,People,Brad Pitt,2,"[1, 1, 1, 1, 0]",2.0
3,Early,Dir,People,Brad Pitt,3,"[1, 0, 2, 1, 1]",1.9219280948873623
3,Early,Dir,People,Brad Pitt,4,"[1, 0, 2, 1, 1]",1.9219280948873623
3,Early,Dir,Entertainment,Drama,1,"[1, 1, 1, 1, 0]",2.0
3,Early,Dir,Entertainment,Drama,2,"[0, 0, 1, 3, 0]",0.8112781244591328
3,Early,Dir,Entertainment,Drama,3,"[0, 0, 1, 2, 0]",0.9182958340544896
3,Early,Dir,Entertainment,Drama,4,"[0, 0, 2, 2, 0]",1.0
3,Early,Dir,Objects,Television,1,"[1, 1, 1, 1, 0]",2.0
3,Early,Dir,Objects,Television,2,"[0, 2, 1, 1, 0]",1.5
3,Early,Dir,Objects,Television,3,"[0, 4, 0, 0, 0]",-0.0
3,Early,Dir,Objects,Television,4,"[0, 4, 0, 0, 0]",-0.0
3,Early,Dir,Abstract,Homesick,1,"[1, 1, 1, 1, 0]",2.0
3,Early,Dir,Abstract,Homesick,2,"[0, 1, 2, 0, 0]",0.9182958340544896
3,Early,Dir,Abstract,Homesick,3,"[0, 1, 2, 0, 0]",0.9182958340544896
3,Early,Dir,Abstract,Homesick,4,"[0, 1, 2, 0, 0]",0.9182958340544896
3,Early,Dir,People,Arnold S.,1,"[1, 1, 1, 1, 0]",2.0
3,Early,Dir,People,Arnold S.,2,"[1, 1, 2, 0, 0]",1.5
3,Early,Dir,People,Arnold S.,3,"[2, 0, 2, 0, 0]",1.0
3,Early,Dir,People,Arnold S.,4,"[2, 0, 2, 0, 0]",1.0
3,Early,Dir,Places,Theatre,1,"[1, 1, 1, 1, 0]",2.0
3,Early,Dir,Places,Theatre,2,"[2, 0, 1, 1, 0]",1.5
3,Early,Dir,Places,Theatre,3,"[1, 0, 2, 1, 0]",1.5
3,Early,Dir,Places,Theatre,4,"[2, 0, 0, 2, 0]",1.0
3,Early,Dir,Objects,Computer monitor,1,"[1, 1, 1, 1, 0]",2.0
